,name,esrb,total_rating
0,Okami HD,5,86.62726548
1,forma.8,4,77.9436892
2,flOw,3,74.69616645
3,de Blob 2,4,74.19318669
4,de Blob,3,76
5,Zotrix,3,42
6,Zone of the Enders: The 2nd Runner,6,70.64541861
7,Zombie Vikings,5,61.44318947
8,Zombie Army Trilogy,6,80.625
9,Zombi,6,63.85962689
10,Zombeer,6,46.25
11,Ziggurat,5,75.54157938
12,Zero Escape: Zero Time Dilemma,6,79.27423887
13,Zenith,6,55
14,Zen Pinball 2,4,73.5
15,Yu-Gi-Oh! Legacy of the Duelist,4,80.0079187
16,Ys VIII: Lacrimosa of Dana,5,87.52472977
17,Ys Origin,5,83.67524064
18,Yooka-Laylee,4,69.37822979
19,Yonder: The Cloud Catcher Chronicles,3,74.0869431
20,Yesterday Origins,6,78.8
21,Yakuza: Kiwami,6,81.25560059
22,Yakuza Kiwami 2,6,85.6
23,Yakuza 6: The Song of Life,6,82.64705882
24,Yakuza 0,6,87.96041781
25,Xeodrifter,3,73.66944666
26,Xenoraid,4,69.16666667
27,XCOM 2,5,83.3082706
28,X-Morph: Defense,5,80.875
29,Wuppo,3,78.6
30,Wulverblade,6,78
31,Worms W.M.D,4,77.46797791
32,Worms Battlegrounds,5,72.02961904
33,World to the West,4,73.875
34,World of Tanks,5,76.37854229
35,World of Final Fantasy,4,76.90846542
36,Wonder Boy: The Dragon's Trap,4,76.10686937
37,Wolfenstein: The New Order,6,80.17774922
38,Wolfenstein II: The New Colossus,6,86.11448813
39,Woah Dave!,3,79.5
40,Wizard of Legend,4,71.33672054
41,Windjammers,3,84.20708711
42,Wild Guns Reloaded,4,79.125
43,Wild Arms 3,5,69.98117366
44,Wick,6,83
45,White Night,6,66.01022382
46,Whispering Willows,5,64.37686567
47,Wheels of Aurelia,5,55
48,What Remains of Edith Finch,5,88.23108213
49,Werewolves Within,3,63.33333333
50,Weeping Doll,5,30
51,We Happy Few,6,66.61685827
52,We Are Doomed,3,60
53,Watch_Dogs,6,78.48689289
54,Wasteland 2: Director's Cut,6,79.26383553
55,Wasteland 2,6,78.70634728
56,Warriors Orochi 3 Ultimate,5,78.9375
57,Warriors All-Stars,5,76.16666667
58,Warhammer: End Times - Vermintide,6,75.00409387
59,"Warhammer 40,000: Inquisitor - Martyr",6,61
60,"Warhammer 40,000: Eternal Crusade",5,55.83333333
61,Warframe,6,71.29130951
62,Warface,6,61.84485864
63,War Thunder,5,69.89570044
64,WWE 2K18,5,67.09289867
65,WWE 2K17,5,65.41866695
66,WWE 2K15,5,51.09504344
67,WRC 6 FIA World Rally Championship,3,64.25
68,WRC 5 FIA World Rally Championship,3,68.5
69,Vostok Inc.,4,62
70,Volume,5,69.57814998
71,Virginia,6,65.54870801
72,Vikings: Wolves of Midgard,6,63.67678206
73,Viking Squad,4,79.16666667
74,Vesta,3,58
75,Verdun,6,58.7886352
76,Velocity 2X,4,83.15646168
77,Velocibox,3,73.75
78,Valley,5,68.6067386
79,Valkyria Chronicles Remastered,5,87.68315987
80,Valkyria Chronicles 4,5,76.75
81,Valiant Hearts: The Great War,5,79.24426073
82,Valentino Rossi: The Game,3,70
83,VVVVVV,4,79.90607058
84,VR Invaders,4,60
85,VIDEOBALL,3,70.4375
86,Utawarerumono: Mask of Truth,6,76.875
87,Utawarerumono: Mask of Deception,6,66
88,Use Your Words,6,60
89,Until Dawn,6,81.03091229
90,Unravel Two,3,76.31764556
91,Unravel,3,81.5777119
92,Unepic,5,68.8876574
93,Undertale,3,92.8470095
94,Under Night In-Birth Exe:Late[st],5,74.33333333
95,Uncharted: Drake's Fortune,5,84.55972866
96,Uncharted 4: A Thief's End,5,93.42068389
97,Uncharted 2: Among Thieves,5,93.48623581
98,Unbox: Newbies Adventure,3,74
99,Unbox,3,62.42033002
100,Ultratron,5,69.43112462
101,Ultra Street Fighter IV,5,79.02561691
102,Ultimate Marvel vs. Capcom 3,5,75.70903741
103,Ultimate Chicken Horse,4,75.16749002
104,Typoman,4,79.64285714
105,Type:Rider,4,81.04665135
106,Tumblestone,3,67.5
107,TumbleSeed,3,82
108,Tumble VR,3,66.33333333
109,Trulon: The Shadow Engine,4,49.83333333
110,Tropico 5,5,72.67496631
111,Tron Run/r,4,71.25
112,Troll and I,5,45.33333333
113,Trivial Pursuit Live!,3,80
114,Trine 3: The Artifacts of Power,4,69.61881907
115,Trine,5,81.75100357
116,Tricky Towers,3,73.70929566
117,Trials of the Blood Dragon,5,56.44117647
118,Trials Fusion,4,79.37201838
119,Treadnauts,4,70
120,Transistor,5,84.96881304
121,Transformers: Fall of Cybertron,5,78.31834472
122,Transformers: Devastation,5,73.61551287
123,Transference,6,70.625
124,Transcripted,4,70
125,Trailblazers,3,72
126,Toy Soldiers: War Chest,5,69.375
127,Toy Odyssey: The Lost and Found,4,62.5
128,Towerfall Ascension,4,86.22143252
129,Toukiden: Kiwami,5,65.3
130,Toukiden 2,5,77.30769231
131,Touhou: Scarlet Curiosity,5,64.4375
132,Touhou Kobuto V: Burst Battle,5,37
133,Touhou Genso Wanderer Reloaded,1,74
134,Torment: Tides of Numenera,6,77.51627628
135,Toren,5,57.13181975
136,Tooth and Tail,5,80.92822361
137,Tony Hawk's Pro Skater 5,5,57.23664423
138,Tomb Raider: Definitive Edition,6,88.1414137
139,Tom Clancy's The Division,6,77.48037495
140,Tom Clancy's Rainbow Six: Siege,6,78.81562706
141,Tom Clancy's Rainbow Six Siege - Advanced Edition,6,80
142,Tom Clancy's Ghost Recon: Wildlands,6,74.04635016
143,Toki Tori 2+,3,79.5
144,Titanfall 2,6,85.83275527
145,Titan Souls,5,72.8241465
146,Titan Quest,5,80.29225433
147,Titan Attacks!,3,69.79997558
148,Tiny Brains,4,63.08333333
149,Timespinner,5,85
150,Time Machine VR,5,57.5
151,Thumper,4,84.56747246
152,Three Fourths Home,6,42.76246365
153,This is the Police,6,65.31525849
154,This War of Mine,6,82.21809022
155,Thief,6,67.41713617
156,Theseus,5,63.5
157,The Wolf Among Us,6,82.37422502
158,The Witness,3,85.11759387
159,The Witcher 3: Wild Hunt,6,94.28524673
160,The Witch and the Hundred Knight 2,5,63
161,The Warriors,6,85.79115099
162,The Wardrobe,6,70
163,The Walking Dead: The Final Season,6,81
164,The Walking Dead: Season Two,6,81.30713335
165,The Voice,4,52.5
166,The Vanishing of Ethan Carter,6,79.39518165
167,The Turing Test,5,73.5914892
168,The Tenth Line,4,70
169,The Technomancer,6,70.86111111
170,The Talos Principle,4,88.73980619
171,The Swords of Ditto,4,61.27777778
172,The Swindle,4,66.6875
173,The Swapper,4,83.21127299
174,The Surge,6,71.45718025
175,The Spectrum Retreat,5,67.5
176,The Solus Project,5,66.86394742
177,The Sims 4,5,73.5006222
178,The Sexy Brutale,5,75.96585156
179,The Raven Remastered,5,56.5
180,The Persistence,6,80
181,The Peanuts Movie: Snoopy's Grand Adventure,3,67.25
182,The Park,6,66.53831072
183,The Order: 1886,6,64.09056525
184,The Mummy: Demastered,4,82
185,The Mooseman,4,70
186,The Metronomicon,4,81
187,The Lost Child,5,81
188,The Long Reach,6,70
189,The Long Dark,5,77.6250908
190,The Little Acre,4,72.05163922
191,The Legend of Korra,5,58.77636115
192,The Legend of Kage,3,67.82658
193,The Legend of Heroes: Trails of Cold Steel,5,85.77777778
194,The Last Guardian,5,83.69149319
195,The King of Fighters XIV,5,79.76470588
196,The Journey Down: Chapter Three,5,87.6635514
197,The Jackbox Party Pack 3,5,83.75796262
198,The Jackbox Party Pack,5,80.49844194
199,The Invisible Hours,5,76.25
200,The Inner World: The Last Wind Monk,3,75
201,The Inner World,3,76.75587686
202,The Incredible Adventures of Van Helsing,1,65.76720605
203,The Huntsman: Winter's Curse,5,61
204,The Golf Club 2019 featuring PGA TOUR,3,59.625
205,The Golf Club 2,3,61.5
206,The Golf Club,3,68.75
207,The Flame in the Flood: Complete Edition,5,80
208,The Flame in the Flood,5,77.18766099
209,The Final Station,5,71.38613142
210,The Fall Part 2: Unbound,5,75
211,The Fall,5,78.59544273
212,The Evil Within 2,6,84.19754737
213,The Evil Within,6,74.14657693
214,The Escapists: The Walking Dead,5,72
215,The Escapists 2,5,77.72222222
216,The Escapists,5,69.59129773
217,The Elder Scrolls V: Skyrim Special Edition,6,85.04180669
218,The Elder Scrolls Online,6,70.73107527
219,The Deadly Tower of Monsters,5,76.16357278
220,The Crew 2,1,62.58253028
221,The Crew,5,64.86497368
222,The Count Lucanor,5,81.66666667
223,The Council - Episode 3: Ripples,6,70
224,The Coma: Recut,5,66.66666667
225,The Bunker,5,63.3228719
226,The Bug Butcher,5,76.3
227,The Brookhaven Experiment,6,65
228,The Bridge,3,70.25723429
229,The Book of Unwritten Tales 2,5,82.52668514
230,The Bit.Trip,3,86
231,The Binding of Isaac: Rebirth,6,91.63519485
232,The Banner Saga 2,5,88.56043848
233,The Banner Saga,5,85.45631212
234,The Awesome Adventures of Captain Spirit,6,80.5438721
